"name","price_year","average_price","unit_value","unit"
Banány žluté,2006,27.3,1.0,kg
Banány žluté,2007,30.85,1.0,kg
Banány žluté,2008,30.59,1.0,kg
Banány žluté,2009,30.56,1.0,kg
Banány žluté,2010,27.44,1.0,kg
Banány žluté,2011,26.97,1.0,kg
Banány žluté,2012,31.0,1.0,kg
Banány žluté,2013,31.79,1.0,kg
Banány žluté,2014,31.65,1.0,kg
Banány žluté,2015,31.91,1.0,kg
Banány žluté,2016,31.72,1.0,kg
Banány žluté,2017,31.07,1.0,kg
Banány žluté,2018,29.32,1.0,kg
Cukr krystalový,2006,21.73,1.0,kg
Cukr krystalový,2007,21.92,1.0,kg
Cukr krystalový,2008,21.1,1.0,kg
Cukr krystalový,2009,19.81,1.0,kg
Cukr krystalový,2010,18.27,1.0,kg
Cukr krystalový,2011,22.45,1.0,kg
Cukr krystalový,2012,24.27,1.0,kg
Cukr krystalový,2013,24.15,1.0,kg
Cukr krystalový,2014,22.03,1.0,kg
Cukr krystalový,2015,17.8,1.0,kg
Cukr krystalový,2016,17.59,1.0,kg
Cukr krystalový,2017,19.96,1.0,kg
Cukr krystalový,2018,15.75,1.0,kg
Eidamská cihla,2006,110.95,1.0,kg
Eidamská cihla,2007,122.68,1.0,kg
Eidamská cihla,2008,135.28,1.0,kg
Eidamská cihla,2009,111.67,1.0,kg
Eidamská cihla,2010,119.95,1.0,kg
Eidamská cihla,2011,122.38,1.0,kg
Eidamská cihla,2012,128.08,1.0,kg
Eidamská cihla,2013,141.97,1.0,kg
Eidamská cihla,2014,150.61,1.0,kg
Eidamská cihla,2015,119.39,1.0,kg
Eidamská cihla,2016,110.9,1.0,kg
Eidamská cihla,2017,142.58,1.0,kg
Eidamská cihla,2018,142.45,1.0,kg
Hovězí maso zadní bez kosti,2006,166.34,1.0,kg
Hovězí maso zadní bez kosti,2007,169.46,1.0,kg
Hovězí maso zadní bez kosti,2008,175.55,1.0,kg
Hovězí maso zadní bez kosti,2009,179.01,1.0,kg
Hovězí maso zadní bez kosti,2010,176.15,1.0,kg
Hovězí maso zadní bez kosti,2011,180.73,1.0,kg
Hovězí maso zadní bez kosti,2012,200.81,1.0,kg
Hovězí maso zadní bez kosti,2013,207.19,1.0,kg
Hovězí maso zadní bez kosti,2014,204.95,1.0,kg
Hovězí maso zadní bez kosti,2015,203.09,1.0,kg
Hovězí maso zadní bez kosti,2016,206.02,1.0,kg
Hovězí maso zadní bez kosti,2017,218.27,1.0,kg
Hovězí maso zadní bez kosti,2018,223.26,1.0,kg
Chléb konzumní kmínový,2006,16.12,1.0,kg
Chléb konzumní kmínový,2007,18.85,1.0,kg
Chléb konzumní kmínový,2008,22.88,1.0,kg
Chléb konzumní kmínový,2009,19.58,1.0,kg
Chléb konzumní kmínový,2010,18.39,1.0,kg
Chléb konzumní kmínový,2011,21.63,1.0,kg
Chléb konzumní kmínový,2012,22.91,1.0,kg
Chléb konzumní kmínový,2013,23.12,1.0,kg
Chléb konzumní kmínový,2014,23.0,1.0,kg
Chléb konzumní kmínový,2015,22.44,1.0,kg
Chléb konzumní kmínový,2016,21.77,1.0,kg
Chléb konzumní kmínový,2017,24.17,1.0,kg
Chléb konzumní kmínový,2018,24.24,1.0,kg
Jablka konzumní,2006,30.71,1.0,kg
Jablka konzumní,2007,28.49,1.0,kg
Jablka konzumní,2008,33.19,1.0,kg
Jablka konzumní,2009,25.85,1.0,kg
Jablka konzumní,2010,25.28,1.0,kg
Jablka konzumní,2011,29.17,1.0,kg
Jablka konzumní,2012,31.0,1.0,kg
Jablka konzumní,2013,34.3,1.0,kg
Jablka konzumní,2014,30.52,1.0,kg
Jablka konzumní,2015,29.87,1.0,kg
Jablka konzumní,2016,29.94,1.0,kg
Jablka konzumní,2017,32.63,1.0,kg
Jablka konzumní,2018,36.17,1.0,kg
Jakostní víno bílé,2015,92.42,0.75,l
Jakostní víno bílé,2016,94.65,0.75,l
Jakostní víno bílé,2017,96.7,0.75,l
Jakostní víno bílé,2018,100.1,0.75,l
Jogurt bílý netučný,2006,5.83,150.0,g
Jogurt bílý netučný,2007,5.88,150.0,g
Jogurt bílý netučný,2008,6.28,150.0,g
Jogurt bílý netučný,2009,6.08,150.0,g
Jogurt bílý netučný,2010,6.26,150.0,g
Jogurt bílý netučný,2011,6.51,150.0,g
Jogurt bílý netučný,2012,7.16,150.0,g
Jogurt bílý netučný,2013,7.7,150.0,g
Jogurt bílý netučný,2014,8.5,150.0,g
Jogurt bílý netučný,2015,8.52,150.0,g
Jogurt bílý netučný,2016,8.12,150.0,g
Jogurt bílý netučný,2017,8.73,150.0,g
Jogurt bílý netučný,2018,9.17,150.0,g
Kapr živý,2006,69.35,1.0,kg
Kapr živý,2007,78.97,1.0,kg
Kapr živý,2008,80.45,1.0,kg
Kapr živý,2009,82.0,1.0,kg
Kapr živý,2010,84.38,1.0,kg
Kapr živý,2011,86.85,1.0,kg
Kapr živý,2012,90.09,1.0,kg
Kapr živý,2013,88.1,1.0,kg
Kapr živý,2014,86.37,1.0,kg
Kapr živý,2015,87.17,1.0,kg
Kapr živý,2016,85.07,1.0,kg
Kapr živý,2017,87.72,1.0,kg
Kapr živý,2018,93.46,1.0,kg
Konzumní brambory,2006,12.07,1.0,kg
Konzumní brambory,2007,14.1,1.0,kg
Konzumní brambory,2008,10.78,1.0,kg
Konzumní brambory,2009,10.22,1.0,kg
Konzumní brambory,2010,13.27,1.0,kg
Konzumní brambory,2011,13.53,1.0,kg
Konzumní brambory,2012,10.56,1.0,kg
Konzumní brambory,2013,16.93,1.0,kg
Konzumní brambory,2014,13.52,1.0,kg
Konzumní brambory,2015,13.34,1.0,kg
Konzumní brambory,2016,15.22,1.0,kg
Konzumní brambory,2017,15.93,1.0,kg
Konzumní brambory,2018,15.08,1.0,kg
Kuřata kuchaná celá,2006,47.47,1.0,kg
Kuřata kuchaná celá,2007,53.61,1.0,kg
Kuřata kuchaná celá,2008,60.86,1.0,kg
Kuřata kuchaná celá,2009,57.86,1.0,kg
Kuřata kuchaná celá,2010,56.9,1.0,kg
Kuřata kuchaná celá,2011,58.3,1.0,kg
Kuřata kuchaná celá,2012,62.9,1.0,kg
Kuřata kuchaná celá,2013,69.3,1.0,kg
Kuřata kuchaná celá,2014,71.77,1.0,kg
Kuřata kuchaná celá,2015,69.58,1.0,kg
Kuřata kuchaná celá,2016,68.97,1.0,kg
Kuřata kuchaná celá,2017,68.18,1.0,kg
Kuřata kuchaná celá,2018,69.31,1.0,kg
Máslo,2006,104.39,1.0,kg
Máslo,2007,115.78,1.0,kg
Máslo,2008,114.74,1.0,kg
Máslo,2009,96.09,1.0,kg
Máslo,2010,118.39,1.0,kg
Máslo,2011,139.19,1.0,kg
Máslo,2012,137.03,1.0,kg
Máslo,2013,154.8,1.0,kg
Máslo,2014,162.97,1.0,kg
Máslo,2015,157.04,1.0,kg
Máslo,2016,148.34,1.0,kg
Máslo,2017,197.79,1.0,kg
Máslo,2018,207.08,1.0,kg
Mléko polotučné pasterované,2006,14.44,1.0,l
Mléko polotučné pasterované,2007,15.59,1.0,l
Mléko polotučné pasterované,2008,17.93,1.0,l
